ring_no,scheme,species_name,age,visit_date,capture_time,location_name,gridRef,wing_length,weight,time_w
2537051,GBT,Storm Petrel,4,28/07/2000,02:00,"NBE (Twinyess, North Ronaldsay)",HY7452,121,25.5,02:00
2537055,GBT,Storm Petrel,4,28/07/2000,02:00,"NBE (Twinyess, North Ronaldsay)",HY7452,125,23.5,02:00
2537066,GBT,Storm Petrel,4,28/07/2000,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,126,27,02:30
2544576,GBT,Storm Petrel,4,29/08/2000,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,127,24.6,02:30
2537259,GBT,Storm Petrel,4,31/07/2000,00:00,"NBE (Twinyess, North Ronaldsay)",HY7452,119,24.4,00:00
2537255,GBT,Storm Petrel,4,31/07/2000,00:00,"NBE (Twinyess, North Ronaldsay)",HY7452,117,25,00:00
2537115,GBT,Storm Petrel,4,30/07/2000,01:00,"NBE (Twinyess, North Ronaldsay)",HY7452,122,26,01:00
2537071,GBT,Storm Petrel,4,28/07/2000,03:00,"NBE (Twinyess, North Ronaldsay)",HY7452,123,23.2,03:00
2537075,GBT,Storm Petrel,4,28/07/2000,03:10,"NBE (Twinyess, North Ronaldsay)",HY7452,121,24,03:10
2537062,GBT,Storm Petrel,4,28/07/2000,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,123,25,02:30
2537174,GBT,Storm Petrel,4,31/07/2000,00:40,"NBE (Twinyess, North Ronaldsay)",HY7452,120,23.9,00:40
2537153,GBT,Storm Petrel,4,30/07/2000,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,123,26.2,02:30
2500911,GBT,Storm Petrel,4,22/07/2000,00:20,"NBE (Twinyess, North Ronaldsay)",HY7452,126,28.4,00:20
2500972,GBT,Storm Petrel,4,22/07/2000,02:40,"NBE (Twinyess, North Ronaldsay)",HY7452,122,23.7,02:40
2544530,GBT,Storm Petrel,4,21/08/2000,23:40,"NBE (Twinyess, North Ronaldsay)",HY7452,125,23.6,23:40
2537191,GBT,Storm Petrel,4,31/07/2000,01:30,"NBE (Twinyess, North Ronaldsay)",HY7452,117,26.1,01:30
2537192,GBT,Storm Petrel,4,31/07/2000,01:30,"NBE (Twinyess, North Ronaldsay)",HY7452,116,23,01:30
2537155,GBT,Storm Petrel,4,30/07/2000,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,124,25.6,02:30
2537166,GBT,Storm Petrel,4,30/07/2000,02:40,"NBE (Twinyess, North Ronaldsay)",HY7452,123,26.5,02:40
2537167,GBT,Storm Petrel,4,30/07/2000,02:40,"NBE (Twinyess, North Ronaldsay)",HY7452,124,23.7,02:40
2537313,GBT,Storm Petrel,4,08/08/2000,01:00,"NBE (Twinyess, North Ronaldsay)",HY7452,125,26.4,01:00
2500924,GBT,Storm Petrel,4,22/07/2000,01:00,"NBE (Twinyess, North Ronaldsay)",HY7452,120,25.2,01:00
2488662,GBT,Storm Petrel,4,28/07/1999,01:40,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.5,01:40
2488666,GBT,Storm Petrel,4,28/07/1999,01:40,"NBE (Twinyess, North Ronaldsay)",HY7452,120,21.4,01:40
2500562,GBT,Storm Petrel,4,20/07/1999,01:10,"NBE (Twinyess, North Ronaldsay)",HY7452,126,24.6,01:10
2488654,GBT,Storm Petrel,4,28/07/1999,01:40,"NBE (Twinyess, North Ronaldsay)",HY7452,123,23.3,01:40
2488783,GBT,Storm Petrel,4,10/08/1999,23:10,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.6,23:10
2500639,GBT,Storm Petrel,4,11/08/1999,23:20,"NMM (Bewan, North Ronaldsay)",HY7855,122,24.5,23:20
2500616,GBT,Storm Petrel,4,11/08/1999,01:20,"NMM (Bewan, North Ronaldsay)",HY7855,120,25.1,01:20
2500621,GBT,Storm Petrel,4,11/08/1999,01:40,"NMM (Bewan, North Ronaldsay)",HY7855,126,25.9,01:40
2500633,GBT,Storm Petrel,4,11/08/1999,02:30,"NMM (Bewan, North Ronaldsay)",HY7855,128,27.2,02:30
2500736,GBT,Storm Petrel,4,13/08/1999,22:40,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,126,25.8,22:40
2500742,GBT,Storm Petrel,4,13/08/1999,23:00,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,122,27.5,23:00
2500784,GBT,Storm Petrel,4,14/08/1999,00:10,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,125,23.6,00:10
2488778,GBT,Storm Petrel,4,06/08/1999,03:10,"NBE (Twinyess, North Ronaldsay)",HY7452,123,22.9,03:10
2488770,GBT,Storm Petrel,4,06/08/1999,03:00,"NBE (Twinyess, North Ronaldsay)",HY7452,127,23.3,03:00
2500595,GBT,Storm Petrel,4,28/07/1999,00:10,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.2,00:10
2488900,GBT,Storm Petrel,4,15/08/1999,01:40,"NMM (Bewan, North Ronaldsay)",HY7855,125,25.4,01:40
2488891,GBT,Storm Petrel,4,15/08/1999,00:10,"NMM (Bewan, North Ronaldsay)",HY7855,125,24.4,00:10
